beneficiary_id,full_name,national_id,email,phone,pillar,region,consent_status,consent_type,consent_date,status,enrollment_status,consent_data_sharing,consent_photo_use,consent_sms_contact,consent_external_reporting
INK-2026-1001,Peter Wangari,20000670,peter.wangari.1@inuka.org,+254795977706,Scholarship,Coastal,Consented,SMS OTP,2026-03-30 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1002,Lydia Nduku,20000871,lydia.nduku.2@inuka.org,+254739723584,Scholarship,Rift Valley,Consented,Physical Form,2026-02-13 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1003,Agnes Kemei,20000374,agnes.kemei.3@inuka.org,+254797439463,Plus,Rift Valley,Consented,SMS OTP,2026-04-06 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1004,Charles Ali,20000265,charles.ali.4@inuka.org,+254753995121,Vocational,Western,Withdrawn,SMS OTP,2026-08-03 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1005,Michael Mutua,20000245,michael.mutua.5@inuka.org,+254762235830,Scholarship,Western,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1006,Halima Kemei,20000476,halima.kemei.6@inuka.org,+254718901835,Plus,North Eastern,Consented,Digital Signature,2026-02-02 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1007,Evans Ibrahim,20000600,evans.ibrahim.7@inuka.org,+254723296111,Scholarship,Nairobi,Consented,Digital Signature,2026-02-21 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1008,Lucy Kipkorir,20001027,lucy.kipkorir.8@inuka.org,+254722375652,Tech,Central,Consented,Digital Signature,2026-07-13 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1009,Esther Odhiambo,20000748,esther.odhiambo.9@inuka.org,+254795900310,Scholarship,Coastal,Consented,SMS OTP,2026-06-05 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1010,Sarah Sang,20000695,sarah.sang.10@inuka.org,+254789482669,Plus,Nyanza,Consented,Physical Form,2026-07-19 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1011,Alice Kamau,20000427,alice.kamau.11@inuka.org,+254794181640,Tech,North Eastern,Consented,SMS OTP,2026-07-19 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1012,Daniel Odhiambo,20000442,daniel.odhiambo.12@inuka.org,+254785709850,Scholarship,Nyanza,Consented,Physical Form,2026-03-07 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1013,Faith Kamau,20000793,faith.kamau.13@inuka.org,+254733137712,Vocational,Coastal,Consented,SMS OTP,2026-04-25 19:38:09,Active,Enrolled,1,1,0,0
INK-2026-1014,Patrick Wamalwa,20001096,patrick.wamalwa.14@inuka.org,+254723319173,Vocational,Central,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1015,Alice Njoroge,20000588,alice.njoroge.15@inuka.org,+254736824192,Vocational,Rift Valley,Consented,Digital Signature,2026-02-05 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1016,Jane Wangari,20000746,jane.wangari.16@inuka.org,+254738390336,Plus,Nyanza,Consented,Digital Signature,2026-02-14 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1017,John Koech,20001070,john.koech.17@inuka.org,+254785437986,Scholarship,Nairobi,Consented,Physical Form,2026-03-18 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1018,Mary Ndwiga,20001206,mary.ndwiga.18@inuka.org,+254758841317,Vocational,Rift Valley,Consented,SMS OTP,2026-02-03 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1019,Joseph Kamau,20001093,joseph.kamau.19@inuka.org,+254740397279,Plus,Coastal,Consented,Digital Signature,2026-03-07 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1020,Wycliffe Odhiambo,20000919,wycliffe.odhiambo.20@inuka.org,+254741608613,Tech,Western,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1021,Emmanuel Kariuki,20001162,emmanuel.kariuki.21@inuka.org,+254731121432,Scholarship,Rift Valley,Consented,Digital Signature,2026-02-25 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1022,Joseph Maina,20001032,joseph.maina.22@inuka.org,+254788542137,Tech,Rift Valley,Consented,SMS OTP,2026-06-14 19:38:09,Active,Enrolled,1,0,0,0
INK-2026-1023,Mary Mwangi,20000562,mary.mwangi.23@inuka.org,+254710963380,Tech,North Eastern,Consented,Digital Signature,2026-04-05 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1024,Asha Omondi,20001315,asha.omondi.24@inuka.org,+254729423849,Tech,Central,Consented,SMS OTP,2026-06-07 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1025,Lydia Karanja,20001363,lydia.karanja.25@inuka.org,+254774823355,Scholarship,Eastern,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1026,Joseph Onyango,20000930,joseph.onyango.26@inuka.org,+254790269411,Vocational,Rift Valley,Consented,Physical Form,2026-08-05 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1027,Gladys Rotich,20001086,gladys.rotich.27@inuka.org,+254757751805,Plus,Rift Valley,Consented,Digital Signature,2026-08-02 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1028,Julius Ali,20000907,julius.ali.28@inuka.org,+254767474209,Scholarship,Rift Valley,Consented,SMS OTP,2026-06-23 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1029,Catherine Sang,20001474,catherine.sang.29@inuka.org,+254727870740,Tech,North Eastern,Consented,Physical Form,2026-06-21 19:38:09,Active,Enrolled,1,1,0,1
INK-2026-1030,Florence Nduku,20001100,florence.nduku.30@inuka.org,+254796282578,Tech,Central,Consented,SMS OTP,2026-05-27 19:38:09,Active,Enrolled,1,0,0,0
INK-2026-1031,Grace Wangari,20000983,grace.wangari.31@inuka.org,+254782539519,Plus,Nairobi,Consented,Digital Signature,2026-05-17 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1032,Faith Kipkorir,20001343,faith.kipkorir.32@inuka.org,+254752505307,Scholarship,Rift Valley,Consented,Digital Signature,2026-06-15 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1033,Zainab Ali,20001450,zainab.ali.33@inuka.org,+254780367438,Scholarship,Rift Valley,Consented,Digital Signature,2026-04-04 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1034,Halima Wekesa,20000849,halima.wekesa.34@inuka.org,+254761746684,Vocational,Rift Valley,Consented,Physical Form,2026-08-07 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1035,Catherine Odhiambo,20000829,catherine.odhiambo.35@inuka.org,+254763320471,Vocational,Rift Valley,Consented,Physical Form,2026-05-07 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1036,Eunice Otieno,20000947,eunice.otieno.36@inuka.org,+254781650237,Scholarship,Central,Consented,Digital Signature,2026-05-12 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1037,Michael Koech,20000760,michael.koech.37@inuka.org,+254718721245,Plus,North Eastern,Consented,SMS OTP,2026-07-21 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1038,Halima Nduku,20001547,halima.nduku.38@inuka.org,+254796231288,Scholarship,Rift Valley,Consented,SMS OTP,2026-02-23 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1039,Asha Kiptoo,20001128,asha.kiptoo.39@inuka.org,+254782522566,Scholarship,Rift Valley,Consented,Digital Signature,2026-05-30 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1040,James Kemei,20001436,james.kemei.40@inuka.org,+254733843958,Tech,Central,Consented,SMS OTP,2026-06-02 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1041,Beatrice Nyambura,20000883,beatrice.nyambura.41@inuka.org,+254743763168,Scholarship,Nairobi,Consented,Digital Signature,2026-06-29 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1042,Florence Karanja,20001223,florence.karanja.42@inuka.org,+254798840739,Scholarship,Western,Consented,SMS OTP,2026-06-02 19:38:09,Active,Enrolled,1,1,1,0
INK-2026-1043,Ruth Njoroge,20001477,ruth.njoroge.43@inuka.org,+254723939482,Scholarship,Rift Valley,Consented,Physical Form,2026-05-18 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1044,Ruth Kimani,20001682,ruth.kimani.44@inuka.org,+254742427887,Scholarship,North Eastern,Consented,Digital Signature,2026-08-02 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1045,Faith Ndwiga,20001128,faith.ndwiga.45@inuka.org,+254723625551,Plus,Nairobi,Consented,Digital Signature,2026-07-04 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1046,Faith Karanja,20001655,faith.karanja.46@inuka.org,+254715458740,Vocational,Nyanza,Consented,SMS OTP,2026-06-02 19:38:09,Active,Enrolled,1,0,1,0
INK-2026-1047,Faith Hassan,20001055,faith.hassan.47@inuka.org,+254764302571,Tech,Nyanza,Consented,SMS OTP,2026-03-04 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1048,Collins Mohamed,20001339,collins.mohamed.48@inuka.org,+254762335888,Tech,Western,Consented,SMS OTP,2026-07-29 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1049,Philip Wamalwa,20001478,philip.wamalwa.49@inuka.org,+254786783239,Tech,Western,Consented,SMS OTP,2026-05-30 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1050,Gladys Jebet,20001518,gladys.jebet.50@inuka.org,+254766562764,Plus,Eastern,Consented,Physical Form,2026-04-27 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1051,Grace Otieno,20000998,grace.otieno.51@inuka.org,+254744526749,Tech,Central,Consented,SMS OTP,2026-04-21 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1052,Joseph Odhiambo,20001808,joseph.odhiambo.52@inuka.org,+254763848657,Plus,Nairobi,Consented,Physical Form,2026-08-10 19:38:09,Active,Enrolled,1,0,0,1
INK-2026-1053,Faith Kiprop,20001140,faith.kiprop.53@inuka.org,+254760742120,Vocational,Western,Pending,,,Active,Pending Review,0,0,0,0
INK-2026-1054,Emmanuel Otieno,20001435,emmanuel.otieno.54@inuka.org,+254797595665,Vocational,Coastal,Withdrawn,SMS OTP,2026-07-26 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1055,John Juma,20001536,john.juma.55@inuka.org,+254740346148,Tech,Eastern,Withdrawn,Physical Form,2026-07-06 19:38:09,Active,On Hold,0,0,0,0
INK-2026-1056,Charles Mohamed,20001256,charles.mohamed.56@inuka.org,+254765920818,Tech,North Eastern,Consented,SMS OTP,2026-05-16 19:38:09,Active,Enrolled,1,0,1,1
INK-2026-1057,Anita Omondi,20001402,anita.omondi.57@inuka.org,+254731563584,Plus,Central,Consented,Digital Signature,2026-02-26 19:38:09,Active,Enrolled,1,1,1,1
INK-2026-1058,Grace Achieng,20001554,grace.achieng.58@inuka.org,+254724552664,Vocational,North Eastern,Consented,Digital Signature,2026-06-19 19:38:09,Active,Enrolled,1,1,0,1
